trip_distance,is_weekend,is_holiday,congestion_surcharge_dummy,airport_fee_dummy,duration_sec
5.33,0,0,1,0,1343.0
0.5,0,0,1,0,193.0
1.82,0,0,1,0,277.0
2.93,0,0,0,0,1009.0
4.87,0,0,0,1,739.0
4.9,0,0,1,0,1273.0
17.31,0,0,1,1,1491.0
0.91,0,0,1,0,283.0
2.5,0,0,1,0,695.0
0.61,0,0,1,0,548.0
1.87,0,0,1,0,511.0
0.87,0,0,1,0,471.0
0.51,0,0,1,0,221.0
10.65,0,0,1,1,1436.0
5.8,0,0,0,1,1023.0
4.7,0,0,1,0,1267.0
10.0,0,0,0,1,1262.0
1.86,0,0,1,0,433.0
1.17,0,0,1,0,421.0
3.59,0,0,1,0,787.0
2.73,0,0,1,0,821.0
3.5,0,0,1,0,1097.0
10.7,0,0,1,0,1334.0
3.4,0,0,1,0,1118.0
16.25,0,0,0,1,1477.0
7.34,0,0,1,0,927.0
3.77,0,0,0,1,880.0
1.78,0,0,1,0,554.0
3.25,0,0,1,0,888.0
0.64,0,0,1,0,171.0
1.7,0,0,1,0,495.0
2.3,0,0,1,0,707.0
4.1,0,0,1,0,822.0
2.66,0,0,1,0,656.0
4.91,0,0,1,0,1072.0
2.89,0,0,1,0,974.0
9.81,0,0,1,0,1425.0
16.78,0,0,1,0,1763.0
4.08,0,0,1,0,770.0
3.1,0,0,1,0,784.0
0.8,0,0,1,0,324.0
10.12,0,0,1,1,1422.0
6.9,0,0,0,1,704.0
1.27,0,0,1,0,322.0
1.24,0,0,1,0,388.0
0.63,0,0,1,0,234.0
6.11,0,0,1,0,1722.0
4.94,0,0,1,0,1365.0
8.7,0,0,1,1,1003.0
3.3,0,0,1,0,1023.0
4.2,0,0,1,0,1117.0
18.54,0,0,1,1,2003.0
1.45,0,0,1,0,434.0
6.9,0,0,0,1,1016.0
0.83,0,0,1,0,250.0
1.57,0,0,0,1,488.0
1.8,0,0,1,0,441.0
1.21,0,0,1,0,320.0
4.84,0,0,1,0,750.0
1.4,0,0,1,0,632.0
4.39,0,0,0,0,1567.0
18.6,0,0,1,1,2272.0
2.61,0,0,1,0,621.0
0.77,0,0,1,0,327.0
2.82,0,0,1,0,865.0
16.36,0,0,1,0,1540.0
19.53,0,0,1,1,2265.0
24.77,0,0,0,1,1744.0
1.93,0,0,1,0,603.0
3.1,0,0,1,0,624.0
4.62,0,0,1,0,807.0
3.2,0,0,1,0,925.0
2.41,0,0,1,0,636.0
0.9,0,0,1,0,257.0
2.71,0,0,1,0,684.0
2.7,0,0,1,0,667.0
1.4,0,0,1,0,473.0
21.95,0,0,1,1,2339.0
18.31,0,0,0,1,1349.0
1.95,0,0,1,0,402.0
19.6,0,0,1,1,1763.0
12.05,0,0,0,1,8784.0
2.66,0,0,1,0,963.0
0.81,0,0,1,0,472.0
2.56,0,0,1,0,765.0
1.7,0,0,1,0,874.0
0.76,0,0,0,0,188.0
3.22,0,0,1,1,585.0
8.68,0,0,0,1,866.0
3.81,0,0,1,0,1095.0
4.25,0,0,1,0,1060.0
0.6,0,0,1,0,222.0
1.46,0,0,1,0,536.0
3.3,0,0,1,0,1675.0
1.54,0,0,1,0,394.0
7.7,0,0,1,0,2334.0
1.06,0,0,1,0,180.0
2.5,0,0,1,0,543.0
2.43,0,0,1,0,795.0
0.75,0,0,1,0,273.0
0.9,0,0,1,0,344.0
1.66,0,0,1,0,484.0
4.4,0,0,1,0,1031.0
16.8,0,0,0,1,1224.0
0.02,0,0,1,0,43.0
1.87,0,0,0,1,666.0
7.91,0,0,1,1,842.0
5.36,0,0,1,0,1034.0
0.93,0,0,1,0,284.0
1.75,0,0,1,0,345.0
7.58,0,0,0,1,1227.0
2.17,0,0,1,0,590.0
2.72,0,0,0,0,851.0
5.82,0,0,0,1,6180.0
18.0,0,0,1,1,1493.0
18.29,0,0,1,0,2717.0
1.6,0,0,1,0,776.0
18.95,0,0,1,1,2338.0
1.63,0,0,1,0,576.0
0.88,0,0,1,0,370.0
2.35,0,0,1,0,786.0
17.1,0,0,1,1,2211.0
1.0,0,0,1,0,338.0
1.0,0,0,1,0,408.0
2.4,0,0,0,0,659.0
1.73,0,0,1,0,311.0
0.89,0,0,1,0,433.0
2.6,0,0,1,0,629.0
1.6,0,0,1,0,659.0
5.66,0,0,1,0,1372.0
3.63,0,0,1,0,914.0
1.89,0,0,1,0,400.0
2.36,0,0,1,0,691.0
1.2,0,0,1,0,494.0
0.97,0,0,1,0,430.0
0.77,0,0,1,0,214.0
5.9,0,0,1,0,1216.0
2.61,0,0,1,0,654.0
2.2,0,0,0,0,719.0
2.28,0,0,1,0,649.0
8.3,0,0,1,1,881.0
1.54,0,0,1,0,333.0
12.07,0,0,0,1,1551.0
2.3,0,0,1,0,899.0
9.17,0,0,1,1,1516.0
11.1,0,0,0,1,1227.0
7.7,0,0,0,1,1385.0
19.3,0,0,1,1,1803.0
0.6,0,0,1,0,282.0
4.68,0,0,1,0,1219.0
0.98,0,0,1,0,272.0
5.98,0,0,0,1,747.0
8.01,0,0,0,1,1177.0
4.0,0,0,1,0,1137.0
1.2,0,0,1,0,381.0
0.95,0,0,0,1,206.0
18.2,0,0,0,1,1557.0
3.9,0,0,1,0,747.0
14.4,0,0,0,1,1423.0
2.48,0,0,1,0,629.0
0.91,0,0,1,0,406.0
9.31,0,0,1,1,1526.0
7.2,0,0,1,0,1092.0
1.1,0,0,1,0,328.0
2.25,0,0,1,0,700.0
3.08,0,0,1,0,623.0
20.29,0,0,1,1,1958.0
2.74,0,0,1,0,607.0
0.71,0,0,1,0,240.0
1.53,0,0,1,0,545.0
22.91,0,0,0,1,2489.0
2.15,0,0,1,0,723.0
0.8,0,0,1,0,410.0
2.8,0,0,1,0,896.0
3.12,0,0,1,0,563.0
5.15,0,0,1,0,1143.0
9.79,0,0,1,0,1323.0
7.0,0,0,0,1,830.0
0.5,0,0,1,0,286.0
13.2,0,0,0,1,1416.0
16.82,0,0,1,1,1804.0
2.5,0,0,0,1,429.0
0.87,0,0,1,0,401.0
15.56,0,0,0,1,1414.0
2.56,0,0,1,0,636.0
1.33,0,0,1,0,568.0
12.17,0,0,0,1,1166.0
4.49,0,0,1,0,1259.0
1.6,0,0,1,0,402.0
9.57,0,0,0,1,1081.0
4.52,0,0,1,0,999.0
